timestamp,web_ready_replicas,web_available_replicas,web_spec_replicas,jobs_ready_replicas,jobs_available_replicas,jobs_spec_replicas,web_hpa_current_replicas,web_hpa_desired_replicas,jobs_hpa_current_replicas,jobs_hpa_desired_replicas,web_restart_total,jobs_restart_total
2026-04-02T17:02:30+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:02:36+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:02:43+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:02:49+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:02:54+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:01+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:07+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:13+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:19+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:25+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:31+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:37+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:43+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:50+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:03:56+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:04:02+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:04:08+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:04:14+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:04:20+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:04:27+00:00,1,1,1,0,0,0,0,0,0,0,3,0
